Process ID: [1777320] | Arguments:
    all_files: True
    file: Bio-Medical
    model: chatgpt
    temperature: 1.0
    top_p: 0.8
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./annotation/query/
    save_dir: ./decoding-strategy_data/chatgpt_top-p_8/
    load_in_4bit: False
    load_in_8bit: False
Process ID: [1777320] | Device: cuda:0
Process ID: [1777320] | Loading data from ./annotation/query/Bio-Medical.json | Total 200

  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [1777320] | Model: chatgpt | File: Bio-Medical | Saving 0 items to ./decoding-strategy_data/chatgpt_top-p_8/Bio-Medical.json

  0%|▎                                                              | 1/200 [00:05<17:48,  5.37s/it]
  1%|▋                                                              | 2/200 [00:15<26:35,  8.06s/it]
  2%|▉                                                              | 3/200 [00:29<35:45, 10.89s/it]
  2%|█▎                                                             | 4/200 [00:38<33:07, 10.14s/it]
  2%|█▌                                                             | 5/200 [00:51<35:53, 11.04s/it]
  3%|█▉                                                             | 6/200 [01:02<36:16, 11.22s/it]
  4%|██▏                                                            | 7/200 [01:10<32:36, 10.14s/it]
  4%|██▌                                                            | 8/200 [01:17<29:01,  9.07s/it]
  4%|██▊                                                            | 9/200 [01:28<30:37,  9.62s/it]
  5%|███                                                           | 10/200 [01:39<31:46, 10.03s/it]
  6%|███▍                                                          | 11/200 [01:52<35:02, 11.13s/it]
  6%|███▋                                                          | 12/200 [02:03<34:39, 11.06s/it]
  6%|████                                                          | 13/200 [02:13<33:25, 10.73s/it]
  7%|████▎                                                         | 14/200 [02:19<28:31,  9.20s/it]
  8%|████▋                                                         | 15/200 [02:31<30:48,  9.99s/it]
  8%|████▉                                                         | 16/200 [02:42<31:25, 10.25s/it]
  8%|█████▎                                                        | 17/200 [02:48<28:07,  9.22s/it]
  9%|█████▌                                                        | 18/200 [02:59<29:31,  9.73s/it]
 10%|█████▉                                                        | 19/200 [03:05<25:30,  8.45s/it]
 10%|██████▏                                                       | 20/200 [03:16<27:33,  9.19s/it]
 10%|██████▌                                                       | 21/200 [03:29<30:52, 10.35s/it]
 11%|██████▊                                                       | 22/200 [03:37<29:07,  9.82s/it]
 12%|███████▏                                                      | 23/200 [03:52<33:25, 11.33s/it]
 12%|███████▍                                                      | 24/200 [04:03<32:28, 11.07s/it]
 12%|███████▊                                                      | 25/200 [04:14<32:35, 11.18s/it]
 13%|████████                                                      | 26/200 [04:24<31:41, 10.93s/it]
 14%|████████▎                                                     | 27/200 [04:38<33:30, 11.62s/it]
 14%|████████▋                                                     | 28/200 [04:50<33:30, 11.69s/it]
 14%|████████▉                                                     | 29/200 [05:04<35:22, 12.41s/it]
 15%|█████████▎                                                    | 30/200 [05:19<37:38, 13.28s/it]
 16%|█████████▌                                                    | 31/200 [05:27<33:23, 11.86s/it]
 16%|█████████▉                                                    | 32/200 [05:38<31:45, 11.34s/it]
 16%|██████████▏                                                   | 33/200 [05:53<35:20, 12.70s/it]
 17%|██████████▌                                                   | 34/200 [06:13<40:36, 14.68s/it]FunctionTimedOut
Retrying...

 18%|██████████▊                                                   | 35/200 [06:49<57:53, 21.05s/it]
 18%|███████████▏                                                  | 36/200 [07:04<53:13, 19.47s/it]
 18%|███████████▍                                                  | 37/200 [07:13<44:12, 16.27s/it]
 19%|███████████▊                                                  | 38/200 [07:24<39:27, 14.62s/it]
 20%|████████████                                                  | 39/200 [07:34<35:12, 13.12s/it]
 20%|████████████▍                                                 | 40/200 [07:44<32:53, 12.33s/it]
 20%|████████████▋                                                 | 41/200 [07:52<29:17, 11.06s/it]
 21%|█████████████                                                 | 42/200 [07:59<25:24,  9.65s/it]
