Process ID: [1777321] | Arguments:
    all_files: True
    file: Bio-Medical
    model: chatgpt
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./annotation/query/
    save_dir: ./decoding-strategy_data/chatgpt_top-p_10/
    load_in_4bit: False
    load_in_8bit: False
Process ID: [1777321] | Device: cuda:0
Process ID: [1777321] | Loading data from ./annotation/query/Bio-Medical.json | Total 200

  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [1777321] | Model: chatgpt | File: Bio-Medical | Saving 0 items to ./decoding-strategy_data/chatgpt_top-p_10/Bio-Medical.json

  0%|▎                                                              | 1/200 [00:07<25:33,  7.70s/it]
  1%|▋                                                              | 2/200 [00:17<29:23,  8.91s/it]
  2%|▉                                                              | 3/200 [00:27<30:42,  9.35s/it]
  2%|█▎                                                             | 4/200 [00:35<29:02,  8.89s/it]
  2%|█▌                                                             | 5/200 [00:44<29:10,  8.98s/it]
  3%|█▉                                                             | 6/200 [00:55<30:41,  9.49s/it]
  4%|██▏                                                            | 7/200 [01:03<29:17,  9.10s/it]
  4%|██▌                                                            | 8/200 [01:11<28:19,  8.85s/it]
  4%|██▊                                                            | 9/200 [01:22<30:25,  9.56s/it]
  5%|███                                                           | 10/200 [01:38<36:22, 11.49s/it]
  6%|███▍                                                          | 11/200 [01:53<39:25, 12.52s/it]
  6%|███▋                                                          | 12/200 [02:02<35:34, 11.35s/it]
  6%|████                                                          | 13/200 [02:12<33:54, 10.88s/it]
  7%|████▎                                                         | 14/200 [02:18<29:48,  9.61s/it]
  8%|████▋                                                         | 15/200 [02:38<39:16, 12.74s/it]
  8%|████▉                                                         | 16/200 [02:52<39:56, 13.03s/it]
  8%|█████▎                                                        | 17/200 [03:00<35:11, 11.54s/it]
  9%|█████▌                                                        | 18/200 [03:12<35:30, 11.71s/it]
 10%|█████▉                                                        | 19/200 [03:19<31:22, 10.40s/it]
 10%|██████▏                                                       | 20/200 [03:32<33:29, 11.16s/it]
 10%|██████▌                                                       | 21/200 [03:48<37:23, 12.54s/it]FunctionTimedOut
Retrying...

 11%|██████▊                                                       | 22/200 [04:24<58:25, 19.69s/it]
 12%|███████▏                                                      | 23/200 [04:35<50:04, 16.97s/it]
 12%|███████▍                                                      | 24/200 [04:52<49:46, 16.97s/it]
 12%|███████▊                                                      | 25/200 [05:06<46:41, 16.01s/it]
 13%|████████                                                      | 26/200 [05:15<40:54, 14.11s/it]
 14%|████████▎                                                     | 27/200 [05:26<37:54, 13.15s/it]
 14%|████████▋                                                     | 28/200 [05:35<33:50, 11.80s/it]
 14%|████████▉                                                     | 29/200 [05:48<34:23, 12.06s/it]
 15%|█████████▎                                                    | 30/200 [05:57<31:51, 11.24s/it]
 16%|█████████▌                                                    | 31/200 [06:07<30:47, 10.93s/it]
 16%|█████████▉                                                    | 32/200 [06:16<28:41, 10.25s/it]FunctionTimedOut
Retrying...

 16%|██████████▏                                                   | 33/200 [06:56<53:14, 19.13s/it]
 17%|██████████▌                                                   | 34/200 [07:08<47:35, 17.20s/it]
 18%|██████████▊                                                   | 35/200 [07:18<40:48, 14.84s/it]
 18%|███████████▏                                                  | 36/200 [07:31<39:34, 14.48s/it]
